시도,시군구,강도,살인,성범죄,절도,폭력,major_crime_type,절도_비율,폭력_비율,성범죄_비율,강도_비율,살인_비율,crime_count,risk_score,cluster,region_type,cctv_count,경찰서,파출소
서울,종로구,5,1,208,1180,1360,"폭력, 절도, 성범죄",42.8,49.4,7.6,0.2,0,2754,23.6,0,범죄 집중 관리 지역,1223,2,20
서울,중구,5,5,180,1410,1378,"절도, 폭력, 성범죄",47.3,46.3,6,0.2,0.2,2978,25.6,0,범죄 집중 관리 지역,1191,2,15
서울,용산구,4,10,262,1072,1941,"폭력, 절도, 성범죄",32.6,59,8,0.1,0.3,3289,28.1,0,범죄 집중 관리 지역,1930,1,7
서울,성동구,2,5,114,968,1033,"폭력, 절도, 성범죄",45.6,48.7,5.4,0.1,0.2,2122,18,0,범죄 집중 관리 지역,1314,1,9
서울,광진구,6,2,237,1321,1303,"절도, 폭력, 성범죄",46,45.4,8.3,0.2,0.1,2869,24.6,0,범죄 집중 관리 지역,1304,1,10
서울,동대문구,4,7,125,1618,1462,"절도, 폭력, 성범죄",50.3,45.5,3.9,0.1,0.2,3216,27.6,0,범죄 집중 관리 지역,1368,1,11
서울,중랑구,2,5,142,1439,1579,"폭력, 절도, 성범죄",45.4,49.9,4.5,0.1,0.2,3167,27,0,범죄 집중 관리 지역,2054,1,8
서울,성북구,1,2,146,884,1149,"폭력, 절도, 성범죄",40.5,52.7,6.7,0,0.1,2182,18.2,0,범죄 집중 관리 지역,2367,2,10
서울,강북구,0,6,141,968,1169,"폭력, 절도, 성범죄",42.4,51.2,6.2,0,0.3,2284,18.4,0,범죄 집중 관리 지역,4596,1,9
서울,도봉구,0,7,74,800,858,"폭력, 절도, 성범죄",46,49.3,4.3,0,0.4,1739,14,0,범죄 집중 관리 지역,3113,1,8
서울,노원구,3,7,143,1506,1434,"절도, 폭력, 성범죄",48.7,46.4,4.6,0.1,0.2,3093,25.6,0,범죄 집중 관리 지역,4240,1,8
서울,은평구,1,9,131,1520,1559,"폭력, 절도, 성범죄",47.2,48.4,4.1,0,0.3,3220,27.5,0,범죄 집중 관리 지역,1773,2,9
서울,서대문구,0,3,131,1012,900,"절도, 폭력, 성범죄",49.5,44,6.4,0,0.1,2046,17.3,0,범죄 집중 관리 지역,1292,1,8
서울,마포구,4,4,504,1469,1912,"폭력, 절도, 성범죄",37.7,49.1,12.9,0.1,0.1,3893,33.6,0,범죄 집중 관리 지역,1497,1,8
서울,양천구,1,4,105,1513,1364,"절도, 폭력, 성범죄",50.7,45.7,3.5,0,0.1,2987,24.5,0,범죄 집중 관리 지역,4795,1,8
서울,강서구,6,5,265,1671,2049,"폭력, 절도, 성범죄",41.8,51.3,6.6,0.2,0.1,3996,34.3,0,범죄 집중 관리 지역,2135,1,11
서울,구로구,0,7,187,1572,1616,"폭력, 절도, 성범죄",46.5,47.8,5.5,0,0.2,3382,28.8,0,범죄 집중 관리 지역,2132,1,8
서울,금천구,3,6,127,887,992,"폭력, 절도, 성범죄",44,49.2,6.3,0.1,0.3,2015,17.2,0,범죄 집중 관리 지역,935,1,5
서울,영등포구,6,10,281,1790,2070,"폭력, 절도, 성범죄",43.1,49.8,6.8,0.1,0.2,4157,34.6,0,범죄 집중 관리 지역,5515,1,10
서울,동작구,1,1,181,1091,1187,"폭력, 절도, 성범죄",44.3,48.2,7.4,0,0,2461,21.1,0,범죄 집중 관리 지역,890,1,7
서울,관악구,3,4,335,1967,2167,"폭력, 절도, 성범죄",43.9,48.4,7.5,0.1,0.1,4476,38.5,0,범죄 집중 관리 지역,2106,1,9
서울,서초구,5,10,361,1587,1812,"폭력, 절도, 성범죄",42,48,9.6,0.1,0.3,3775,30.9,0,범죄 집중 관리 지역,6397,2,11
서울,강남구,17,16,635,2094,3335,"폭력, 절도, 성범죄",34.3,54.7,10.4,0.3,0.3,6097,52.6,0,범죄 집중 관리 지역,2672,2,14
서울,송파구,3,5,316,2500,2346,"절도, 폭력, 성범죄",48.4,45.4,6.1,0.1,0.1,5170,44.7,0,범죄 집중 관리 지역,1831,1,11
서울,강동구,4,3,166,1662,1519,"절도, 폭력, 성범죄",49.6,45.3,4.9,0.1,0.1,3354,28.8,0,범죄 집중 관리 지역,1464,1,9
부산,중구,1,1,45,574,645,"폭력, 절도, 성범죄",45.3,50.9,3.6,0.1,0.1,1266,10.7,1,생활 안전 지역,503,1,5
부산,서구,1,3,28,662,470,"절도, 폭력, 성범죄",56.9,40.4,2.4,0.1,0.3,1164,9.8,1,생활 안전 지역,569,1,4
부산,동구,5,2,62,567,728,"폭력, 절도, 성범죄",41.6,53.4,4.5,0.4,0.1,1364,11.5,1,생활 안전 지역,671,1,5
부산,영도구,1,2,22,443,487,"폭력, 절도, 성범죄",46.4,51,2.3,0.1,0.2,955,7.8,1,생활 안전 지역,915,1,4
부산,부산진구,8,4,312,2678,2848,"폭력, 절도, 성범죄",45.8,48.7,5.3,0.1,0.1,5850,51,0,범죄 집중 관리 지역,1017,1,10
부산,동래구,4,3,82,1264,1101,"절도, 폭력, 성범죄",51.5,44.9,3.3,0.2,0.1,2454,21,0,범죄 집중 관리 지역,991,1,6
부산,남구,0,4,105,862,1039,"폭력, 절도, 성범죄",42.9,51.7,5.2,0,0.2,2010,16.8,0,범죄 집중 관리 지역,2074,1,7
부산,북구,2,5,74,1137,891,"절도, 폭력, 성범죄",53.9,42.2,3.5,0.1,0.2,2109,18,0,범죄 집중 관리 지역,887,1,5
부산,강서구,2,3,46,446,625,"폭력, 절도, 성범죄",39.8,55.7,4.1,0.2,0.3,1122,9.2,0,범죄 집중 관리 지역,1172,1,9
부산,해운대구,1,2,142,1674,1394,"절도, 폭력, 성범죄",52.1,43.4,4.4,0,0.1,3213,27.8,0,범죄 집중 관리 지역,805,1,9
