sido,sigungu,name,type,longitude,latitude
서울,중구,을지,지구대,127.0001542,37.5630603
서울,중구,광희,지구대,127.0134024,37.5652621
서울,중구,약수,지구대,127.012387,37.5521435
서울,중구,신당,파출소,127.0163822,37.5650437
서울,중구,장충,파출소,127.004807,37.5587566
서울,중구,충무,파출소,126.9915813,37.5608699
서울,중구,을지로3가,파출소,126.9928564,37.5662059
서울,종로구,종로2가,지구대,126.988927,37.5705063
서울,종로구,관수,파출소,126.986359,37.5687093
서울,종로구,세검정,파출소,126.9584492,37.6000475
서울,종로구,평창,파출소,126.9666215,37.6052552
서울,종로구,삼청,파출소,126.9814642,37.5823448
서울,종로구,통의,파출소,126.9740116,37.576775
서울,종로구,청운,파출소,126.9705805,37.5842327
서울,종로구,옥인,파출소,126.9694297,37.5814745
서울,종로구,교남,파출소,126.9622046,37.5718152
서울,중구,세종로,파출소,126.9764169,37.5689478
서울,종로구,신문로,파출소,126.9722374,37.5707767
서울,종로구,사직,파출소,126.9690445,37.5765695
서울,종로구,청진,파출소,126.9826675,37.5729574
서울,중구,태평로,파출소,126.9799955,37.5680057
서울,중구,서울역,파출소,126.9716699,37.5568868
서울,중구,명동,파출소,126.9839611,37.5635708
서울,중구,남대문,파출소,126.9763943,37.5590182
서울,중구,중림,파출소,126.9671175,37.5578922
서울,중구,회현,파출소,126.9787111,37.5584436
서울,중구,서소문,파출소,126.9754795,37.5638308
서울,서대문구,충정로,지구대,126.9610995,37.5698773
서울,서대문구,신촌,지구대,126.9430116,37.5585619
서울,서대문구,홍은,파출소,126.9464225,37.5952284
서울,서대문구,연희,파출소,126.9328503,37.570283
서울,서대문구,남가좌,파출소,126.9240509,37.5760509
서울,서대문구,북가좌,파출소,126.9105701,37.5813244
서울,서대문구,홍제,파출소,126.9445744,37.5881748
서울,서대문구,홍은2,파출소,126.9362153,37.5836036
서울,종로구,혜화,파출소,127.0013753,37.586047
서울,종로구,대학로,파출소,127.0060488,37.5785899
서울,종로구,명륜,파출소,126.9975956,37.5892767
서울,종로구,창신,파출소,127.0135448,37.5784906
서울,종로구,동묘,파출소,127.0171418,37.5727089
서울,종로구,덕산,파출소,127.0093424,37.5743827
서울,종로구,종로5가,파출소,127.0016248,37.5707586
서울,종로구,효제,파출소,127.0048673,37.5729394
서울,용산구,원효,지구대,126.9658669,37.5386351
서울,용산구,용중,지구대,126.9784871,37.549152
서울,용산구,이태원,파출소,126.9943727,37.5342319
서울,용산구,한남,파출소,127.0063512,37.5310986
서울,용산구,보광,파출소,127.0002436,37.526713
서울,용산구,삼각지,파출소,126.974716,37.5361173
서울,용산구,한강로,지구대,126.9706677,37.5244136
서울,성북구,돈암,지구대,127.0124017,37.5973217
서울,성북구,안암,지구대,127.0166068,37.5867065
서울,성북구,길음,지구대,127.0193054,37.6105704
서울,성북구,정릉,파출소,127.0086197,37.6160675
서울,성북구,정릉2,파출소,127.0107204,37.6045609
서울,성북구,성북,파출소,126.9984705,37.5932758
서울,동대문구,답십리,지구대,127.0510647,37.5712925
서울,동대문구,용신,지구대,127.0372112,37.5728472
서울,동대문구,청량리,파출소,127.0449934,37.5839842
서울,동대문구,제기,파출소,127.0420291,37.5855821
서울,동대문구,전농1,파출소,127.0479242,37.5761148
서울,동대문구,전농2,파출소,127.0542589,37.5863565
서울,동대문구,장안1,파출소,127.064998,37.5696376
서울,동대문구,장안2,파출소,127.0743957,37.5767939
서울,동대문구,이문,지구대,127.0681374,37.5965855
서울,동대문구,휘경,파출소,127.068026,37.5846369
서울,동대문구,회기,파출소,127.0518439,37.5910765
서울,마포구,서강,지구대,126.9293073,37.5473377
서울,마포구,공덕,지구대,126.9540507,37.5518123
서울,마포구,월드컵,지구대,126.9090223,37.5686867
서울,마포구,홍익,지구대,126.9134099,37.5518508
서울,마포구,용강,지구대,126.9430791,37.5425601
서울,마포구,상암,파출소,126.8938477,37.5782856
서울,마포구,망원,파출소,126.9027465,37.5543381
서울,마포구,연남,파출소,126.9237563,37.5603342
서울,영등포구,중앙,지구대,126.9075207,37.5180166
서울,영등포구,여의도,지구대,126.9266868,37.5296265
서울,영등포구,문래,지구대,126.897665,37.513591
서울,영등포구,신풍,지구대,126.9128064,37.4990985
서울,영등포구,신길,지구대,126.9265408,37.512965
서울,영등포구,양평,파출소,126.8896909,37.5227249
서울,영등포구,당산,지구대,126.9012626,37.5336096
서울,영등포구,대림,지구대,126.8987078,37.4934265
서울,영등포구,대림3,파출소,126.8966358,37.4989846
서울,영등포구,영등포역,파출소,126.9088697,37.5154881
서울,성동구,한양,지구대,127.0417539,37.5602336
서울,성동구,성수,지구대,127.0552502,37.5482233
서울,성동구,서울숲,지구대,127.0522781,37.5380537
서울,성동구,왕십리,파출소,127.0326611,37.5666649
서울,성동구,행당,파출소,127.028853,37.557434
서울,성동구,옥수,파출소,127.0143412,37.5438342
서울,성동구,금호,파출소,127.0195728,37.5547894
서울,성동구,응봉,파출소,127.0300272,37.5498029
서울,성동구,용답,파출소,127.0517589,37.5647475
서울,동작구,사당,지구대,126.9792715,37.4807875
서울,동작구,노량진,지구대,126.9333082,37.5111521
서울,동작구,상도,지구대,126.9361987,37.5059341
서울,동작구,남성,지구대,126.9732673,37.4841234
서울,동작구,흑석,지구대,126.9601298,37.5093099
서울,동작구,신대방,지구대,126.9059648,37.486655
서울,동작구,대방,파출소,126.9205834,37.4985751
서울,광진구,광나루,지구대,127.1033239,37.5444624
서울,광진구,화양,지구대,127.0713533,37.5464589
서울,광진구,중곡1,파출소,127.0827865,37.5637221
서울,광진구,중곡2,파출소,127.0815157,37.5602793
서울,광진구,중곡3,파출소,127.0801657,37.5688197
서울,광진구,중곡4,파출소,127.0872716,37.5653517
서울,광진구,자양,파출소,127.0716114,37.5338552
서울,광진구,자양1,파출소,127.0769179,37.536618
서울,광진구,자양4,파출소,127.0636519,37.535189
서울,광진구,구의,파출소,127.090872,37.5457187
서울,은평구,응암,지구대,126.9264458,37.6016349
서울,은평구,신사,지구대,126.9053776,37.5918634
서울,은평구,녹번,파출소,126.9257082,37.6064667
서울,은평구,응암3,파출소,126.9175469,37.590525
서울,은평구,역촌,파출소,126.9150668,37.6045853
서울,강북구,미아,지구대,127.0282643,37.6201594
서울,강북구,솔샘,지구대,127.0304324,37.6163208
서울,강북구,수유1,파출소,127.0175799,37.630667
서울,강북구,수유2,파출소,127.0171161,37.6409349
서울,강북구,수유3,파출소,127.0266122,37.6443384
서울,강북구,인수,파출소,127.0123995,37.6394448
서울,강북구,번동,파출소,127.0325903,37.635981
서울,강북구,번3,파출소,127.0481341,37.6236281
서울,강북구,삼양,파출소,127.0181897,37.6247884
서울,금천구,금천,파출소,126.8998477,37.4542507
서울,금천구,문성,지구대,126.903456,37.4695389
서울,금천구,백산,지구대,126.9125981,37.4510438
서울,금천구,가산,파출소,126.8880305,37.4798469
서울,금천구,독산,파출소,126.8944207,37.4674184
서울,중랑구,망우,지구대,127.0956253,37.5990519
서울,중랑구,중화,지구대,127.0722081,37.5979872
서울,중랑구,용마,지구대,127.0805006,37.5802475
서울,중랑구,봉화,지구대,127.0955146,37.6147382
서울,중랑구,면목본동,파출소,127.0938664,37.5881449
서울,중랑구,면목삼팔,파출소,127.0841552,37.5832043
서울,중랑구,상봉,파출소,127.0728238,37.5912612
서울,중랑구,먹골,파출소,127.0815273,37.6146211
서울,강남구,역삼,지구대,127.0410264,37.5083455
서울,강남구,논현1,파출소,127.0293274,37.5138634
서울,강남구,논현2,파출소,127.0338461,37.515207
서울,강남구,삼성1,파출소,127.0605457,37.5149088
서울,강남구,삼성2,파출소,127.0433165,37.5123557
서울,강남구,청담,파출소,127.0531015,37.5212558
서울,강남구,신사,파출소,127.0241333,37.5183709
서울,강남구,압구정,파출소,127.0356323,37.52935
서울,관악구,당곡,지구대,126.9343894,37.4860138
서울,관악구,낙성대,지구대,126.9575863,37.4782915
서울,관악구,신림,지구대,126.9333325,37.4840039
서울,관악구,관악산,지구대,126.935263,37.4738575
서울,관악구,구암,지구대,126.9450393,37.4893441
서울,관악구,남현,파출소,126.9778639,37.4745581
서울,관악구,난우,파출소,126.9192456,37.4611245
서울,관악구,미성,파출소,126.915617,37.4799141
서울,관악구,신사,지구대,126.9142099,37.4872987
서울,강서구,화곡,지구대,126.8500975,37.5513683
서울,강서구,공항,지구대,126.8082755,37.5623695
서울,강서구,까치산,지구대,126.8455594,37.5293479
서울,강서구,가양,지구대,126.8501348,37.5592526
서울,강서구,곰달래,지구대,126.8631324,37.5328972
서울,강서구,방화3,파출소,126.8146997,37.5798149
서울,강서구,염창,지구대,126.8715715,37.555513
서울,강서구,등촌2,파출소,126.8618654,37.5447967
서울,강서구,발산,지구대,126.8260456,37.5494016
서울,강서구,화곡3,파출소,126.8351726,37.5446715
서울,강서구,마곡,지구대,126.8242262,37.5672418
서울,강동구,천호,지구대,127.1207845,37.5425753
서울,강동구,길동,지구대,127.1391881,37.5294474
서울,강동구,성내,지구대,127.1263674,37.5286414
서울,강동구,암사,지구대,127.1407739,37.5549317
서울,강동구,둔촌,파출소,127.1409229,37.5232067
서울,강동구,명일,파출소,127.1560902,37.5536455
서울,강동구,강일,파출소,127.1732257,37.5648677
서울,강동구,고덕,파출소,127.1517026,37.5573174
서울,강동구,상일,파출소,127.1658401,37.5562107
서울,성북구,석관,파출소,127.0552194,37.6088991
서울,성북구,장위,지구대,127.0537944,37.6194658
서울,성북구,월곡,지구대,127.0324326,37.6044436
서울,성북구,종암,파출소,127.0312655,37.600118
서울,구로구,신구로,지구대,126.8838979,37.5022709
서울,구로구,오류,지구대,126.8388425,37.4948085
서울,구로구,구일,지구대,126.8907179,37.489261
서울,구로구,고척,지구대,126.8583168,37.5066307
서울,구로구,개봉,지구대,126.8564502,37.4918266
서울,구로구,구로3,파출소,126.8914008,37.4866634
서울,구로구,가리봉,파출소,126.8926529,37.4792055
서울,구로구,천왕,파출소,126.8425625,37.4838523
서울,서초구,반포,지구대,127.0051915,37.5059677
서울,서초구,서초2,파출소,127.0289785,37.4875319
서울,서초구,서초3,파출소,127.0310604,37.4883059
서울,서초구,양재,파출소,127.0378594,37.484541
서울,서초구,서초,파출소,127.0167503,37.4852953
서울,서초구,우면,파출소,127.0160021,37.4561219
서울,서초구,내곡,파출소,127.0647993,37.4550134
서울,양천구,목1,지구대,126.8784636,37.5351432
서울,양천구,목2,지구대,126.8623784,37.5445493
서울,양천구,신정1,지구대,126.8607895,37.5203052
서울,양천구,신정2,지구대,126.8635664,37.5244317
서울,양천구,신월2,지구대,126.8343941,37.5205342
서울,양천구,신월1,파출소,126.8322462,37.5320552
서울,양천구,신정3,파출소,126.8549894,37.514915
